id	name:en	name:sv;a	desc_short:en	desc_short:sv;a	desc:en	desc:sv;a	image_url
V4ueGnC0EDyF4ZCJnHO7w	Food & Beverages	Mat och dryck	Products that are edible or drinkable.	Produkter som är ätbara eller drickbara.	Products that are edible or drinkable.	Produkter som är ätbara eller drickbara.	iconify://dashicons:food
HyMvdUuj3hE9RCtwbJrHe	Clothing & Accessories	Kläder och accessoarer	Products that are worn or used to enhance the appearance of a person.	Produkter som bärs eller används för att förbättra utseendet på en person.	Products that are worn or used to enhance the appearance of a person.	Produkter som bärs eller används för att förbättra utseendet på en person.	iconify://map:clothing-store
jd-8xmWMJ_mN91n4-u6Gt	Electronics	Elektronik	Products that are electronic devices or components.	Produkter som är elektroniska enheter eller komponenter.	Products that are electronic devices or components.	Produkter som är elektroniska enheter eller komponenter.	iconify://map:electronics-store
txyfpxMOwTVFaBx_Q-Zzk	Beauty & Personal Care	Skötsel och personlig vård	Products that are used for personal grooming or hygiene.	Produkter som används för personlig vård eller hygien.	Products that are used for personal grooming or hygiene.	Produkter som används för personlig vård eller hygien.	iconify://mdi:bottle-tonic-outline
MAuXnoNL4nZ6-leZkT9yH	Home & Kitchen	Hem och kök	Products that are used in the home or kitchen.	Produkter som används i hemmet eller köket.	Products that are used in the home or kitchen.	Produkter som används i hemmet eller köket.	iconify://mdi:home
fWwQy00MAM1deLbm9TbeT	Food	Mat	Products that are edible or drinkable.	Produkter som är ätbara eller drickbara.	Products that are edible or drinkable.	Produkter som är ätbara eller drickbara.	iconify://dashicons:food
VFHLtyFArWnFUyE6IYnyM	Beverages	Drycker	Products that are drinkable.	Produkter som är drickbara.	Products that are drinkable.	Produkter som är drickbara.	iconify://dashicons:food
0gui1pFVsAeDXZ9sdJVCD	Clothing	Kläder	Products that are worn.	Produkter som bärs.	Products that are worn.	Produkter som bärs.	iconify://map:clothing-store
fWuucuYw3G2Bcq2qjZ8Vx	Computers	Datorer	Products that are computers or computer components.	Produkter som är datorer eller datorkomponenter.	Products that are computers or computer components.	Produkter som är datorer eller datorkomponenter.	iconify://mdi:computer
QFflmVbRW7Q-Wwl79ahfV	Audio & Video	Ljud och video	Products that are audio or video devices.	Produkter som är ljud- eller videoutrustning.	Products that are audio or video devices.	Produkter som är ljud- eller videoutrustning.	iconify://mdi:headphones-outline
Z1kzQ2CYhwgTwqUL3d851	Makeup	Makeup	Products that are used for cosmetic purposes.	Produkter som används för kosmetiska ändamål.	Products that are used for cosmetic purposes.	Produkter som används för kosmetiska ändamål.	iconify://mdi:bottle-tonic-outline
VlxPvpSKKB-3544CIt3hA	Skin Care	Hudvård	Products that are used for skin care.	Produkter som används för hudvård.	Products that are used for skin care.	Produkter som används för hudvård.	iconify://material-symbols:face
VCtMNnICPBmlhsw66EIh_	Hair Care	Hårvård	Products that are used for hair care.	Produkter som används för hårvård.	Products that are used for hair care.	Produkter som används för hårvård.	iconify://material-symbols:face
apewDlNt0N7izPOy1oULi	Appliances	Elektriska apparater	Products that are electrical appliances.	Produkter som är elektriska apparater.	Products that are electrical appliances.	Produkter som är elektriska apparater.	iconify://mdi:home
mA8vel7HVnRJehljPyi9H	Household Supplies	Hushållsartiklar	Products that are used for household purposes.	Produkter som används för hushållsändamål.	Products that are used for household purposes.	Produkter som används för hushållsändamål.	iconify://mdi:home
OPOtUl1kLXOGns1YCERvV	Bed & Bath	Säng och bad	Products that are used for bedding or bathing.	Produkter som används för sängkläder eller bad.	Products that are used for bedding or bathing.	Produkter som används för sängkläder eller bad.	iconify://mdi:home
PXmAAitg0-T0Ijrpn4pGe	Bakery	Bagare	Products that are baked goods.	Produkter som är bakade varor.	Products that are baked goods.	Produkter som är bakade varor.	iconify://dashicons:food
AKotoulTqz6Q7u-32-xDB	Prepared Foods	Färdiglagad mat	Products that are pre-cooked or ready to eat.	Produkter som är förkokta eller klara att äta.	Products that are pre-cooked or ready to eat.	Produkter som är förkokta eller klara att äta.	iconify://dashicons:food
5gBLE1T3g6t7s678hSSx8	Frozen Foods	Färskvaror	Products that are frozen or chilled.	Produkter som är frysta eller kylda.	Products that are frozen or chilled.	Produkter som är frysta eller kylda.	iconify://dashicons:food
JUh-SlIPKwpHhLNTUpk5a	Fruits & Vegetables	Frukter och grönsaker	Products that are fresh produce.	Produkter som är färskvaror.	Products that are fresh produce.	Produkter som är färskvaror.	iconify://dashicons:food
